id;region;municipality;settlement;type;latitude_dd;longitude_dd
96;Иркутская область;Тайшетский район;Тайшет;г;5594;9800
97;Республика Алтай;Чемальский район;Чепош;с;5158;8583
98;Республика Алтай;Турочакский район;Иогач;с;5178;8725
99;Республика Хакасия;Алтайский район;Березовка;д;5340;9165
100;Красноярский край;Сухобузимский район;Исток;п;5660;9370
101;Томская область;Томский район;Губино;д;5658;8462
102;Новосибирская область;Мошковский район;Смоленский;п;5519;8336
103;Красноярский край;Новосёловский район;Курганы;п;5518;9131
104;Алтайский край;Завьяловский;Тумановский;п;5285;8068
105;Новосибирская область;Доволенский район;Волчанка;с;5442;7940
106;Новосибирская область;Мошковский район;Старый Порос;с;5542;8348
107;Красноярский край;Большемуртинский район;Красные Ключи;п;5692;9278
108;Томская область;Колпашевский район;Белояровка;д;5842;8334
109;Красноярский край;Шушенский район;Синеборск;п;5348;9209
